,Age,Gender,Education Level,Job Title,Years of Experience,Salary
1387,24.0,Female,Bachelor's Degree ,Front end Developer,1.0,55000.0
1245,24.0,Female,Master's Degree ,Back end Developer,1.0,60000.0
1384,24.0,Female,Bachelor's Degree ,Back end Developer,1.0,60000.0
1446,24.0,Male,Bachelor's Degree ,Front end Developer,1.0,60000.0
3396,24.0,Female,Bachelor's Degree ,Web Developer,1.0,45000.0
5403,24.0,Male,Bachelor's Degree ,Financial Analyst,1.0,55000.0
1634,24.0,Male,Bachelor's Degree ,Back end Developer,1.0,55000.0
1562,24.0,Male,Bachelor's Degree ,Front end Developer,1.0,55000.0
2502,24.0,Male,Master's Degree ,Back end Developer,0.0,55538.0
2499,24.0,Female,Bachelor's Degree ,Front end Developer,1.0,51265.0
3889,24.0,Male,Bachelor's Degree ,Software Engineer,2.0,55000.0
2491,24.0,Female,High School,Senior Project Engineer,1.0,52731.0
3046,24.0,Male,PhD,Software Engineer Manager,1.0,106686.0
4267,24.0,Male,High School,Junior Sales Associate,1.0,26000.0
4603,24.0,Female,High School,Juniour HR Coordinator,1.0,32000.0
679,24.0,Female,Bachelor's Degree ,Product Manager,3.0,125000.0
2663,24.0,Female,Master's Degree ,Software Engineer,2.0,60000.0
2637,24.0,Female,Bachelor's Degree ,Back end Developer,1.0,61095.0
2596,24.0,Male,Bachelor's Degree ,Back end Developer,2.0,63901.0
696,24.0,Male,Bachelor's Degree ,Data Analyst,1.0,95000.0
6462,24.0,Male,High School,Sales Associate,1.0,35000.0
4542,24.0,Male,Bachelor's Degree ,Junior Web Developer,1.0,40000.0
2562,24.0,Male,PhD,Software Engineer Manager,1.0,106132.0
6594,24.0,Male,Bachelor's Degree ,Sales Manager,1.0,35000.0
3011,24.0,Male,Bachelor's Degree ,Back end Developer,1.0,55935.0
6335,24.0,Male,PhD,Digital Marketing Manager,1.0,30000.0
3643,24.0,Male,High School,Junior Sales Associate,1.0,30000.0
6319,24.0,Female,Bachelor's Degree ,Sales Executive,1.0,35000.0
835,24.0,Male,Bachelor's Degree ,Data Analyst,1.0,92000.0
631,25.0,Female,Bachelor's Degree ,Data Analyst,2.0,110000.0
5828,25.0,Male,Bachelor's Degree ,Product Manager,1.0,60000.0
1199,25.0,Female,Bachelor's Degree ,Data Analyst,2.0,90000.0
3480,25.0,Female,Master's Degree ,Junior HR Generalist,1.0,32000.0
1206,25.0,Male,Bachelor's Degree ,Front end Developer,1.0,60000.0
3414,25.0,Female,Bachelor's Degree ,Junior Web Developer,1.0,40000.0
644,25.0,Male,Bachelor's Degree ,Data Analyst,2.0,110000.0
620,25.0,Male,Bachelor's Degree ,Data Analyst,2.0,115000.0
1268,25.0,Female,Master's Degree ,Back end Developer,2.0,75000.0
987,25.0,Male,Bachelor's Degree ,Data Analyst,2.0,100000.0
810,25.0,Male,Bachelor's Degree ,Data Analyst,3.0,135000.0
999,25.0,Female,Bachelor's Degree ,Data Analyst,2.0,100000.0
6025,25.0,Female,High School,Customer Service Representative,1.0,30000.0
6019,25.0,Female,Bachelor's Degree ,Marketing Analyst,0.0,40000.0
5285,25.0,Female,High School,Sales Associate,0.0,25000.0
2376,25.0,Male,PhD,Software Engineer Manager,12.0,169159.0
2380,25.0,Male,Bachelor's Degree ,Back end Developer,2.0,90249.0
4739,25.0,Male,High School,Junior Sales Associate,1.0,30000.0
2385,25.0,Other,High School,Full Stack Engineer,2.0,69032.0
3229,25.0,Female,Master's Degree ,Software Engineer,2.0,60000.0
3683,25.0,Female,Bachelor's Degree ,Junior Software Developer,1.0,35000.0
4925,25.0,Female,Bachelor's Degree ,Marketing Manager,3.0,65000.0
3771,25.0,Female,Master's Degree ,Marketing Coordinator,2.0,40000.0
3899,25.0,Male,High School,Junior Sales Associate,2.0,30000.0
4270,25.0,Female,Bachelor's Degree ,Human Resources Coordinator,2.0,47000.0
4143,25.0,Male,High School,Junior Sales Associate,1.0,26000.0
4610,25.0,Male,High School,Web Developer,2.0,45000.0
4600,25.0,Male,High School,Junior HR Generalist,2.0,40000.0
4589,25.0,Female,High School,Junior HR Coordinator,1.0,32000.0
4537,25.0,Female,High School,Juniour HR Coordinator,1.0,32000.0
2670,25.0,Male,Bachelor's Degree ,Front End Developer,2.0,50000.0
2680,25.0,Male,Master's Degree ,Software Engineer,2.0,60000.0
3387,25.0,Male,Bachelor's Degree ,Junior Web Developer,2.0,50000.0
1665,25.0,Female,Bachelor's Degree ,Front end Developer,1.0,55000.0
5362,25.0,Male,Bachelor's Degree ,Financial Analyst,1.0,55000.0
5505,25.0,Male,Bachelor's Degree ,Software Engineer,1.0,60000.0
5519,25.0,Male,Bachelor's Degree ,Product Manager,1.0,55000.0
1438,25.0,Male,Bachelor's Degree ,Front end Developer,1.0,55000.0
5009,25.0,Female,Bachelor's Degree ,Marketing Manager,2.0,55000.0
5140,25.0,Male,Bachelor's Degree ,Junior Software Engineer,1.0,55000.0
1890,25.0,Female,Bachelor's Degree ,Front end Developer,1.0,550.0
6390,25.0,Female,High School,Sales Executive,1.0,35000.0
382,25.0,Female,Master's Degree ,Data Analyst,1.0,100000.0
82,25.0,Male,Bachelor's Degree ,Sales Representative,0.0,30000.0
144,25.0,Female,Master's Degree ,Junior Marketing Specialist,1.5,40000.0
6481,25.0,Female,High School,Sales Associate,1.0,35000.0
6308,25.0,Male,Master's Degree ,Digital Marketing Manager,3.0,50000.0
6294,25.0,Male,High School,Sales Associate,1.0,35000.0
6275,25.0,Female,Master's Degree ,Digital Marketing Manager,3.0,50000.0
49,25.0,Male,Bachelor's Degree ,Help Desk Analyst,0.0,35000.0
596,25.0,Male,Bachelor's Degree ,Data Analyst,2.0,125000.0
18,25.0,Female,Bachelor's Degree ,Data Entry Clerk,0.0,35000.0
5758,26.0,Female,Bachelor's Degree ,Graphic Designer,1.0,45000.0
5075,26.0,Male,Bachelor's Degree ,Senior Product Marketing Manager,5.0,85000.0
1083,26.0,Male,Bachelor's Degree ,Data Analyst,3.0,120000.0
6265,26.0,Female,Bachelor's Degree ,Digital Marketing Manager,4.0,60000.0
5901,26.0,Male,Bachelor's Degree ,Product Designer,1.0,50000.0
5135,26.0,Female,Bachelor's Degree ,Social Media Manager,3.0,55000.0
5206,26.0,Male,Bachelor's Degree ,Marketing Analyst,2.0,50000.0
1126,26.0,Male,Bachelor's Degree ,Data Analyst,3.0,110000.0
5886,26.0,Male,Bachelor's Degree ,Graphic Designer,1.0,45000.0
1115,26.0,Female,Bachelor's Degree ,Data Analyst,3.0,100000.0
6286,26.0,Male,Master's Degree ,Digital Marketing Manager,3.0,50000.0
2144,26.0,Male,Bachelor's Degree ,Back end Developer,2.0,65000.0
4820,26.0,Male,High School,Junior Sales Associate,2.0,31000.0
2301,26.0,Male,Bachelor's Degree ,Software Developer,2.0,60000.0
6342,26.0,Female,High School,Financial Manager,3.0,45000.0
4754,26.0,Female,Bachelor's Degree ,Junior Software Engineer,1.0,45000.0
5908,26.0,Male,Bachelor's Degree ,Product Designer,2.0,55000.0
6312,26.0,Male,Master's Degree ,Sales Representative,3.0,45000.0
5264,26.0,Male,Bachelor's Degree ,Junior Software Engineer,1.0,55000.0
5611,26.0,Male,Bachelor's Degree ,Product Designer,2.0,50000.0
415,26.0,Female,Master's Degree ,Product Manager,2.0,120000.0
1234,26.0,Male,Bachelor's Degree ,Front end Developer,2.0,70000.0
5498,26.0,Female,Bachelor's Degree ,Graphic Designer,2.0,50000.0
5496,26.0,Female,Bachelor's Degree ,Social Media Man,7.0,100000.0
1241,26.0,Female,Master's Degree ,Back end Developer,3.0,90000.0
6133,26.0,Female,Master's Degree ,Software Engineer,2.0,75000.0
1226,26.0,Female,Master's Degree ,Back end Developer,2.0,70000.0
1694,26.0,Female,Master's Degree ,Front end Developer,1.0,55000.0
377,26.0,Male,Master's Degree ,Product Manager,2.0,120000.0
604,26.0,Male,Bachelor's Degree ,Data Analyst,3.0,130000.0
3853,26.0,Female,Bachelor's Degree ,Junior Software Developer,1.0,35000.0
3846,26.0,Female,Master's Degree ,Human Resources Coordinator,3.0,50000.0
3091,26.0,Male,Bachelor's Degree ,Front end Developer,3.0,67556.0
3106,26.0,Male,Master's Degree ,Full Stack Engineer,3.0,88678.0
3116,26.0,Male,Bachelor's Degree ,Full Stack Engineer,4.0,79652.0
3130,26.0,Male,Bachelor's Degree ,Back end Developer,2.0,63789.0
3139,26.0,Male,Bachelor's Degree ,Software Engineer,2.0,60000.0
3774,26.0,Male,High School,Junior Sales Associate,2.0,35000.0
3763,26.0,Male,Bachelor's Degree ,Software Developer,3.0,60000.0
3078,26.0,Male,Master's Degree ,Full Stack Engineer,3.0,91397.0
6570,26.0,Male,High School,Sales Manager,2.0,40000.0
3068,26.0,Female,Master's Degree ,Front end Developer,3.0,73218.0
2959,26.0,Male,Master's Degree ,Full Stack Engineer,4.0,91397.0
4004,26.0,Male,High School,Junior Sales Associate,2.0,30000.0
2974,26.0,Female,Master's Degree ,Front end Developer,2.0,65840.0
2984,26.0,Male,Master's Degree ,Full Stack Engineer,3.0,70216.0
97,26.0,Male,Bachelor's Degree ,Junior Software Developer,1.0,35000.0
3031,26.0,Male,Master's Degree ,Front end Developer,3.0,73640.0
3062,26.0,Male,Master's Degree ,Full Stack Engineer,4.0,91062.0
4021,26.0,Female,Bachelor's Degree ,Marketing Coordinator,2.0,40000.0
6661,26.0,Female,High School,Sales Associate,1.0,35000.0
3551,26.0,Female,Bachelor's Degree ,Web Developer,3.0,55000.0
3538,26.0,Female,High School,Junior HR Generalist,2.0,35000.0
3528,26.0,Female,Bachelor's Degree ,Junior Web Developer,2.0,45000.0
6675,26.0,Female,High School,Sales Executive,1.0,35000.0
8,26.0,Female,Bachelor's Degree ,Marketing Coordinator,1.0,45000.0
3399,26.0,Male,Bachelor's Degree ,Junior HR Generalist,2.0,50000.0
38,26.0,Female,Bachelor's Degree ,Customer Success Rep,1.0,40000.0
64,26.0,Male,Bachelor's Degree ,Junior Accountant,1.0,35000.0
3646,26.0,Female,Master's Degree ,Marketing Coordinator,2.0,40000.0
4028,26.0,Female,Bachelor's Degree ,Junior Software Developer,2.0,35000.0
2547,26.0,Male,Master's Degree ,Front end Developer,4.0,75656.0
4577,26.0,Female,Bachelor's Degree ,Junior HR Generalist,2.0,42000.0
4571,26.0,Female,Bachelor's Degree ,Web Developer,1.0,35000.0
4564,26.0,Male,Bachelor's Degree ,Junior HR Coordinator,2.0,38000.0
4555,26.0,Female,Bachelor's Degree ,Junior HR Generalist,1.0,32000.0
4549,26.0,Female,Master's Degree ,Senior HR Generalist,2.0,55000.0
2578,26.0,Male,Master's Degree ,Full Stack Engineer,4.0,89843.0
2584,26.0,Female,Master's Degree ,Front end Developer,3.0,72649.0
4532,26.0,Male,Master's Degree ,Junior Web Developer,2.0,48000.0
2594,26.0,Male,Master's Degree ,Full Stack Engineer,4.0,90944.0
4525,26.0,Female,Bachelor's Degree ,Junior HR Coordinator,1.0,35000.0
4519,26.0,Female,High School,Web Developer,1.0,35000.0
2614,26.0,Male,Master's Degree ,Full Stack Engineer,4.0,85825.0
4511,26.0,Male,Bachelor's Degree ,Software Engineer,1.0,52000.0
174,26.0,Female,Master's Degree ,Junior Data Scientist,1.5,45000.0
2393,26.0,Male,Bachelor's Degree ,Back end Developer,3.0,75072.0
2432,26.0,Male,Master's Degree ,Full Stack Engineer,4.0,102859.0
2647,26.0,Male,Master's Degree ,Full Stack Engineer,3.0,68472.0
2653,26.0,Female,Master's Degree ,Front end Developer,4.0,76898.0
6486,26.0,Male,High School,Digital Marketing Manager,2.0,40000.0
4273,26.0,Male,High School,Junior Sales Associate,1.0,26000.0
125,26.0,Male,Bachelor's Degree ,Junior Accountant,2.0,40000.0
2655,26.0,Female,Bachelor's Degree ,Software Engineer,2.0,65000.0
6457,26.0,Female,Bachelor's Degree ,Sales Representative,2.0,40000.0
6472,26.0,Male,High School,Financial Manager,3.0,45000.0
153,26.0,Male,Bachelor's Degree ,Junior Customer Support Specialist,2.0,35000.0
692,26.0,Male,Bachelor's Degree ,Data Analyst,3.0,135000.0
968,26.0,Female,Bachelor's Degree ,Data Analyst,3.0,120000.0
537,26.0,Female,Bachelor's Degree ,Data Analyst,3.0,130000.0
2231,27.0,Male,Bachelor's Degree ,Front end Developer,2.0,65000.0
1555,27.0,Male,Bachelor's Degree ,Front end Developer,3.0,80000.0
5545,27.0,Male,Bachelor's Degree ,Software Engineer,3.0,80000.0
4875,27.0,Female,Bachelor's Degree ,Junior Software Engineer,2.0,48000.0
2227,27.0,Male,Bachelor's Degree ,Back end Developer,3.0,80000.0
1504,27.0,Female,Master's Degree ,Back end Developer,2.0,70000.0
931,27.0,Male,Bachelor's Degree ,Software Engineer,4.0,140000.0
6572,27.0,Male,PhD,Marketing Manager,4.0,55000.0
1557,27.0,Female,Master's Degree ,Full Stack Engineer,3.0,100000.0
539,27.0,Female,Bachelor's Degree ,Software Engineer,4.0,140000.0
6063,27.0,Male,Bachelor's Degree ,Product Designer,2.0,55000.0
3317,27.0,Female,Bachelor's Degree ,Software Engineer,3.0,70000.0
35,27.0,Male,Bachelor's Degree ,Technical Writer,2.0,45000.0
3764,27.0,Male,Bachelor's Degree ,Software Engineer,3.0,60000.0
4934,27.0,Female,Master's Degree ,Content Marketing Manager,4.0,80000.0
6316,27.0,Male,High School,Financial Manager,4.0,60000.0
5502,27.0,Female,Bachelor's Degree ,Marketing Coordinator,2.0,50000.0
397,27.0,Male,Bachelor's Degree ,Data Analyst,2.0,110000.0
1530,27.0,Male,Bachelor's Degree ,Back end Developer,2.0,75000.0
3144,27.0,Male,Bachelor's Degree ,Software Developer,1.0,50000.0
3591,27.0,Female,High School,Junior HR Generalist,1.0,32000.0
1521,27.0,Male,Bachelor's Degree ,Front end Developer,2.0,70000.0
6301,27.0,Female,High School,Sales Representative,3.0,40000.0
945,27.0,Female,Master's Degree ,Data Scientist,3.0,180000.0
3553,27.0,Female,Master's Degree ,Senior HR Generalist,4.0,70000.0
623,27.0,Female,Bachelor's Degree ,Product Manager,4.0,150000.0
6353,27.0,Male,Master's Degree ,Digital Marketing Manager,3.0,50000.0
5635,27.0,Male,Bachelor's Degree ,Software Engineer,3.0,75000.0
3118,27.0,Male,Master's Degree ,Back end Developer,5.0,87584.0
3804,27.0,Male,High School,Junior Sales Associate,2.0,35000.0
5629,27.0,Male,Bachelor's Degree ,Software Engineer,2.0,65000.0
6344,27.0,Female,PhD,Marketing Manager,4.0,55000.0
1420,27.0,Female,Master's Degree ,Back end Developer,2.0,65000.0
3813,27.0,Male,Bachelor's Degree ,Software Developer,3.0,60000.0
4731,27.0,Male,Bachelor's Degree ,Junior Data Analyst,2.0,50000.0
3542,27.0,Female,High School,Junior HR Coordinator,1.0,30000.0
6369,27.0,Male,PhD,Sales Representative,4.0,55000.0
2379,27.0,Female,Master's Degree ,Front end Developer,5.0,78354.0
6666,27.0,Male,High School,Digital Marketing Manager,2.0,40000.0
425,27.0,Male,PhD,Data Scientist,2.0,115000.0
232,27.0,Female,Master's Degree ,Junior Research Scientist,1.5,50000.0
6140,27.0,Male,Bachelor's Degree ,Software Engineer,2.0,70000.0
2259,27.0,Male,Bachelor's Degree ,Software Engineer,3.0,70000.0
5485,27.0,Male,Bachelor's Degree ,Software Engineer,3.0,85000.0
6652,27.0,Male,High School,Sales Manager,2.0,40000.0
6333,27.0,Male,High School,Sales Executive,2.0,40000.0
5343,27.0,Female,Bachelor's Degree ,Social Media Manager,3.0,55000.0
5142,27.0,Male,Bachelor's Degree ,Product Designer,3.0,60000.0
5337,27.0,Female,Bachelor's Degree ,Graphic Designer,2.0,50000.0
3721,27.0,Female,Master's Degree ,Human Resources Coordinator,3.0,50000.0
5330,27.0,Male,Bachelor's Degree ,Marketing Analyst,2.0,50000.0
1739,27.0,Male,Bachelor's Degree ,Back end Developer,3.0,85000.0
6596,27.0,Male,High School,Financial Manager,3.0,45000.0
1893,27.0,Female,Bachelor's Degree ,Back end Developer,3.0,80000.0
56,27.0,Female,Master's Degree ,UX Researcher,2.0,65000.0
5451,27.0,Male,Bachelor's Degree ,Junior Software Engineer,1.0,55000.0
6271,27.0,Female,Bachelor's Degree ,Sales Associate,1.0,35000.0
5006,27.0,Male,High School,Sales Representative,3.0,50000.0
378,27.0,Female,Bachelor's Degree ,Data Analyst,2.0,110000.0
6581,27.0,Female,Bachelor's Degree ,Sales Representative,3.0,45000.0
3101,27.0,Female,Master's Degree ,Full Stack Engineer,4.0,83577.0
4539,27.0,Female,Bachelor's Degree ,Junior HR Generalist,2.0,42000.0
4168,27.0,Female,Bachelor's Degree ,Junior Software Developer,2.0,36000.0
1221,27.0,Male,Bachelor's Degree ,Senior Project Engineer,4.0,115000.0
1068,27.0,Male,Bachelor's Degree ,Software Engineer,4.0,160000.0
3394,27.0,Female,Bachelor's Degree ,Junior HR Coordinator,2.0,50000.0
4521,27.0,Female,Master's Degree ,Web Developer,2.0,50000.0
134,27.0,Male,Bachelor's Degree ,Junior Sales Representative,1.0,35000.0
2618,27.0,Male,Bachelor's Degree ,Back end Developer,4.0,68732.0
4508,27.0,Female,Bachelor's Degree ,Software Developer,3.0,61000.0
1262,27.0,Female,Master's Degree ,Full Stack Engineer,3.0,95000.0
4573,27.0,Female,Master's Degree ,Junior HR Generalist,2.0,42000.0
4560,27.0,Male,Master's Degree ,Web Developer,2.0,50000.0
4553,27.0,Female,Bachelor's Degree ,Web Developer,2.0,50000.0
183,27.0,Male,Bachelor's Degree ,Junior Product Manager,2.0,40000.0
4142,27.0,Female,Bachelor's Degree ,Human Resources Coordinator,2.0,47000.0
2576,27.0,Male,High School,Back end Developer,4.0,79767.0
3896,27.0,Female,Bachelor's Degree ,Marketing Coordinator,3.0,45000.0
970,27.0,Female,Bachelor's Degree ,Product Manager,4.0,130000.0
2630,27.0,Female,Master's Degree ,Front end Developer,4.0,75969.0
1101,27.0,Male,Bachelor's Degree ,Software Engineer,5.0,150000.0
5878,27.0,Male,PhD,Marketing Coordinator,7.0,120000.0
4389,27.0,Male,Bachelor's Degree ,Software Developer,3.0,62000.0
1140,27.0,Female,Bachelor's Degree ,Data Analyst,5.0,125000.0
5881,27.0,Female,Bachelor's Degree ,Product Manager,2.0,65000.0
6465,27.0,Female,Master's Degree ,Digital Marketing Manager,3.0,50000.0
165,27.0,Male,Bachelor's Degree ,Junior Business Development Associate,1.5,35000.0
2822,27.0,Male,High School,Back end Developer,4.0,80247.0
2645,27.0,Male,High School,Back end Developer,3.0,68611.0
6013,27.0,Male,Bachelor's Degree ,Graphic Designer,2.0,50000.0
2667,27.0,Female,Bachelor's Degree ,Software Engineer,3.0,65000.0
3406,27.0,Female,Master's Degree ,Director of HR,5.0,80000.0
1092,27.0,Female,Bachelor's Degree ,Data Analyst,5.0,120000.0
2427,27.0,Male,Bachelor's Degree ,Back end Developer,4.0,82683.0
203,27.0,Female,Master's Degree ,Junior UX Designer,1.5,45000.0
4634,27.0,Female,Bachelor's Degree ,Junior Software Engineer,1.0,45000.0
2440,27.0,Female,Master's Degree ,Back end Developer,4.0,73938.0
677,27.0,Female,Master's Degree ,Data Scientist,4.0,150000.0
86,27.0,Male,Bachelor's Degree ,Junior Account Manager,2.0,45000.0
4015,27.0,Female,Master's Degree ,Marketing Manager,3.0,60000.0
2493,27.0,Female,Bachelor's Degree ,Full Stack Engineer,4.0,73895.0
14,27.0,Male,Bachelor's Degree ,Customer Service Rep,2.0,40000.0
5753,27.0,Male,Bachelor's Degree ,Product Manager,2.0,65000.0
6028,27.0,Male,Bachelor's Degree ,Product Designer,1.0,45000.0
5248,28.0,Male,Bachelor's Degree ,Software Engineer,3.0,85000.0
4266,28.0,Female,Bachelor's Degree ,Marketing Coordinator,2.0,41000.0
6030,28.0,Male,Bachelor's Degree ,Marketing Analyst,3.0,70000.0
4337,28.0,Female,Bachelor's Degree ,Junior Software Developer,2.0,36000.0
1820,28.0,Female,Bachelor's Degree ,Front end Developer,2.0,65000.0
5076,28.0,Female,Master's Degree ,Marketing Manager,7.0,110000.0
4036,28.0,Female,Master's Degree ,Human Resources Coordinator,2.0,45000.0
2804,28.0,Male,Bachelor's Degree ,Full Stack Engineer,4.0,77606.0
3180,28.0,Male,Bachelor's Degree ,Software Engineer,4.0,75000.0
5074,28.0,Female,PhD,Director of Marketing,6.0,105000.0
3739,28.0,Male,High School,Junior Sales Associate,2.0,35000.0
109,28.0,Male,Bachelor's Degree ,Customer Success Manager,2.0,40000.0
569,28.0,Female,Bachelor's Degree ,Software Engineer,5.0,160000.0
4031,28.0,Female,High School,Junior Sales Associate,1.0,25000.0
2992,28.0,Female,Bachelor's Degree ,Senior Project Engineer,3.0,70397.0
2783,28.0,Male,Master's Degree ,Full Stack Engineer,5.0,84181.0
3968,28.0,Male,Bachelor's Degree ,Software Developer,3.0,60000.0
6238,28.0,Female,Bachelor's Degree ,Marketing Analyst,3.0,65000.0
348,28.0,Female,Bachelor's Degree ,Junior Operations Manager,1.0,35000.0
5238,28.0,Male,Bachelor's Degree ,Financial Analyst,4.0,80000.0
5973,28.0,Female,Bachelor's Degree ,Marketing Analyst,3.0,60000.0
73,28.0,Male,Bachelor's Degree ,Technical Support Specialist,2.0,40000.0
718,28.0,Male,Bachelor's Degree ,Software Engineer,5.0,160000.0
6589,28.0,Female,Master's Degree ,Digital Marketing Manager,4.0,55000.0
1897,28.0,Male,Bachelor's Degree ,Front end Developer,2.0,65000.0
2816,28.0,Male,Bachelor's Degree ,Back end Developer,4.0,72389.0
140,28.0,Male,Bachelor's Degree ,Junior Business Analyst,2.0,40000.0
6598,28.0,Male,PhD,Marketing Manager,4.0,55000.0
6022,28.0,Male,Bachelor's Degree ,Software Engineer,3.0,70000.0
2400,28.0,Male,Master's Degree ,Front end Developer,5.0,76742.0
253,28.0,Male,Bachelor's Degree ,Junior Business Development Associate,2.0,40000.0
4613,28.0,Female,Bachelor's Degree ,Junior HR Coordinator,3.0,45000.0
4619,28.0,Female,High School,Juniour HR Generalist,2.0,43000.0
4842,28.0,Male,Bachelor's Degree ,Junior Data Analyst,3.0,52000.0
3871,28.0,Female,High School,Junior Sales Associate,1.0,30000.0
6330,28.0,Male,High School,Sales Executive,2.0,40000.0
2497,28.0,Female,Master's Degree ,Full Stack Engineer,7.0,115920.0
2495,28.0,Female,Master's Degree ,Senior Software Engineer,5.0,99747.0
3892,28.0,Female,Bachelor's Degree ,Human Resources Coordinator,4.0,60000.0
2558,28.0,Male,Bachelor's Degree ,Full Stack Engineer,5.0,84407.0
4580,28.0,Male,High School,Junior Web Developer,2.0,43000.0
189,28.0,Male,Bachelor's Degree ,Junior Operations Analyst,1.5,35000.0
3137,28.0,Male,Bachelor's Degree ,Software Developer,1.0,50000.0
2537,28.0,Male,Master's Degree ,Full Stack Engineer,4.0,90452.0
4597,28.0,Female,Bachelor's Degree ,Junior HR Generalist,3.0,50000.0
3125,28.0,Female,Master's Degree ,Full Stack Engineer,4.0,82697.0
4755,28.0,Female,Bachelor's Degree ,Junior Software Engineer,2.0,48000.0
3111,28.0,Female,Bachelor's Degree ,Back end Developer,5.0,77766.0
224,28.0,Male,Bachelor's Degree ,Junior Financial Analyst,2.0,40000.0
2403,28.0,Male,High School,Back end Developer,7.0,95845.0
3086,28.0,Female,Bachelor's Degree ,Senior Project Engineer,4.0,82944.0
827,28.0,Male,Bachelor's Degree ,Software Engineer,5.0,165000.0
6346,28.0,Female,Bachelor's Degree ,Sales Representative,2.0,40000.0
2570,28.0,Male,Bachelor's Degree ,Back end Developer,4.0,71699.0
