,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Age Group
29,33.0,Male,Master's Degree,Product Designer,6.0,90000.0,30-39
30,50.0,Male,Bachelor's Degree,CEO,25.0,250000.0,50-59
31,31.0,Female,Bachelor's Degree,Accountant,4.0,55000.0,30-39
32,29.0,Male,Master's Degree,Data Scientist,3.0,75000.0,20-29
33,39.0,Female,Bachelor's Degree,Marketing Specialist,10.0,65000.0,30-39
34,46.0,Male,PhD,Senior Manager,20.0,170000.0,40-49
35,27.0,Male,Bachelor's Degree,Technical Writer,2.0,45000.0,20-29
36,35.0,Female,Bachelor's Degree,HR Generalist,7.0,60000.0,30-39
37,42.0,Male,Master's Degree,Project Engineer,14.0,115000.0,40-49
38,26.0,Female,Bachelor's Degree,Customer Success Rep,1.0,40000.0,20-29
39,49.0,Male,Bachelor's Degree,Sales Executive,21.0,160000.0,40-49
40,34.0,Female,Master's Degree,UX Designer,5.0,80000.0,30-39
41,48.0,Male,Master's Degree,Operations Director,18.0,190000.0,40-49
42,30.0,Male,Bachelor's Degree,Network Engineer,3.0,60000.0,30-39
43,36.0,Female,Bachelor's Degree,Administrative Assistant,8.0,45000.0,30-39
44,41.0,Male,Master's Degree,Strategy Consultant,13.0,130000.0,40-49
45,28.0,Female,Bachelor's Degree,Copywriter,2.0,40000.0,20-29
46,32.0,Male,Bachelor's Degree,Account Manager,5.0,75000.0,30-39
47,45.0,Female,Master's Degree,Director of Marketing,16.0,180000.0,40-49
48,38.0,Male,PhD,Senior Scientist,11.0,120000.0,30-39
49,25.0,Male,Bachelor's Degree,Help Desk Analyst,0.0,35000.0,20-29
50,51.0,Female,Bachelor's Degree,Customer Service Manager,22.0,130000.0,50-59
51,33.0,Male,Master's Degree,Business Intelligence Analyst,7.0,85000.0,30-39
52,40.0,Female,Bachelor's Degree,Event Coordinator,12.0,60000.0,40-49
53,47.0,Male,Master's Degree,VP of Finance,19.0,200000.0,40-49
54,29.0,Female,Bachelor's Degree,Graphic Designer,3.0,50000.0,20-29
55,36.0,Male,Bachelor's Degree,Sales Manager,9.0,95000.0,30-39
56,27.0,Female,Master's Degree,UX Researcher,2.0,65000.0,20-29
57,43.0,Male,PhD,Senior Engineer,17.0,140000.0,40-49
58,30.0,Female,Bachelor's Degree,Social Media Manager,4.0,55000.0,30-39
59,35.0,Male,Master's Degree,Product Manager,7.0,105000.0,30-39
60,51.0,Female,Master's Degree,Director of Operations,23.0,170000.0,50-59
61,29.0,Male,Bachelor's Degree,Marketing Analyst,3.0,50000.0,20-29
62,40.0,Female,Bachelor's Degree,HR Manager,12.0,80000.0,40-49
63,47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,40-49
64,26.0,Male,Bachelor's Degree,Junior Accountant,1.0,35000.0,20-29
65,38.0,Female,Master's Degree,Digital Marketing Manager,10.0,90000.0,30-39
66,46.0,Male,Bachelor's Degree,IT Manager,19.0,120000.0,40-49
67,31.0,Female,Bachelor's Degree,Customer Service Representative,5.0,45000.0,30-39
68,34.0,Male,Master's Degree,Business Development Manager,8.0,90000.0,30-39
69,49.0,Female,Master's Degree,Senior Financial Analyst,18.0,150000.0,40-49
70,33.0,Male,Bachelor's Degree,Web Developer,6.0,65000.0,30-39
71,39.0,Female,Bachelor's Degree,Recruiter,11.0,70000.0,30-39
72,45.0,Male,PhD,Research Director,16.0,190000.0,40-49
73,28.0,Male,Bachelor's Degree,Technical Support Specialist,2.0,40000.0,20-29
74,42.0,Female,Master's Degree,Creative Director,14.0,120000.0,40-49
75,37.0,Male,Bachelor's Degree,Project Manager,10.0,95000.0,30-39
76,50.0,Female,Bachelor's Degree,Operations Manager,22.0,160000.0,50-59
77,32.0,Male,Master's Degree,Senior Software Engineer,6.0,100000.0,30-39
78,48.0,Female,Master's Degree,Human Resources Director,20.0,180000.0,40-49
79,30.0,Female,Bachelor's Degree,Content Marketing Manager,3.0,55000.0,30-39
80,36.0,Male,Bachelor's Degree,Technical Recruiter,8.0,70000.0,30-39
81,41.0,Female,Master's Degree,Data Analyst,13.0,80000.0,40-49
82,25.0,Male,Bachelor's Degree,Sales Representative,0.0,30000.0,20-29
83,52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,50-59
84,29.0,Female,Bachelor's Degree,Junior Designer,2.0,40000.0,20-29
85,34.0,Female,Master's Degree,Financial Advisor,10.0,95000.0,30-39
86,27.0,Male,Bachelor's Degree,Junior Account Manager,2.0,45000.0,20-29
87,40.0,Female,Bachelor's Degree,HR Generalist,15.0,80000.0,40-49
88,46.0,Male,Master's Degree,Senior Project Manager,21.0,135000.0,40-49
89,31.0,Female,Bachelor's Degree,Marketing Coordinator,6.0,55000.0,30-39
90,36.0,Male,PhD,Principal Scientist,11.0,120000.0,30-39
91,29.0,Female,Bachelor's Degree,Sales Associate,3.0,40000.0,20-29
92,43.0,Male,Bachelor's Degree,Supply Chain Manager,18.0,105000.0,40-49
93,52.0,Female,Master's Degree,Senior Marketing Manager,25.0,170000.0,50-59
94,33.0,Male,Bachelor's Degree,Business Analyst,7.0,75000.0,30-39
95,39.0,Female,Bachelor's Degree,Training Specialist,12.0,65000.0,30-39
96,47.0,Male,PhD,Research Scientist,22.0,160000.0,40-49
97,26.0,Male,Bachelor's Degree,Junior Software Developer,1.0,35000.0,20-29
98,38.0,Female,Master's Degree,Public Relations Manager,10.0,90000.0,30-39
99,45.0,Male,Bachelor's Degree,Operations Analyst,20.0,110000.0,40-49
100,31.0,Female,Bachelor's Degree,Event Coordinator,5.0,45000.0,30-39
101,35.0,Male,Master's Degree,Product Marketing Manager,8.0,95000.0,30-39
102,49.0,Female,Master's Degree,Senior HR Manager,19.0,150000.0,40-49
103,33.0,Male,Bachelor's Degree,Junior Web Developer,5.0,50000.0,30-39
104,39.0,Female,Master's Degree,Senior Project Coordinator,13.0,80000.0,30-39
105,44.0,Male,PhD,Chief Data Officer,16.0,220000.0,40-49
106,30.0,Female,Bachelor's Degree,Digital Content Producer,3.0,50000.0,30-39
107,36.0,Male,Bachelor's Degree,IT Support Specialist,7.0,60000.0,30-39
108,41.0,Female,Master's Degree,Senior Marketing Analyst,14.0,100000.0,40-49
109,28.0,Male,Bachelor's Degree,Customer Success Manager,2.0,40000.0,20-29
110,42.0,Female,Master's Degree,Senior Graphic Designer,15.0,110000.0,40-49
111,37.0,Male,Bachelor's Degree,Software Project Manager,9.0,95000.0,30-39
112,50.0,Female,Bachelor's Degree,Supply Chain Analyst,22.0,130000.0,50-59
113,32.0,Male,Master's Degree,Senior Business Analyst,6.0,90000.0,30-39
114,23.0,Female,Bachelor's Degree,Junior Marketing Analyst,0.5,35000.0,20-29
115,31.0,Male,Master's Degree,Senior Financial Analyst,6.0,95000.0,30-39
116,40.0,Female,Bachelor's Degree,Office Manager,15.0,65000.0,40-49
117,48.0,Male,PhD,Principal Engineer,20.0,170000.0,40-49
118,29.0,Female,Bachelor's Degree,Junior HR Generalist,3.0,45000.0,20-29
119,35.0,Male,Master's Degree,Senior Product Manager,10.0,120000.0,30-39
120,42.0,Female,Bachelor's Degree,Sales Manager,17.0,100000.0,40-49
121,53.0,Male,Master's Degree,Director of Marketing,25.0,180000.0,50-59
122,33.0,Female,Bachelor's Degree,Junior Operations Analyst,5.0,50000.0,30-39
123,38.0,Male,Bachelor's Degree,Customer Service Manager,11.0,80000.0,30-39
124,44.0,Female,PhD,Senior Scientist,16.0,140000.0,40-49
125,26.0,Male,Bachelor's Degree,Junior Accountant,2.0,40000.0,20-29
126,37.0,Female,Master's Degree,Senior HR Generalist,9.0,95000.0,30-39
127,45.0,Male,Bachelor's Degree,Sales Operations Manager,18.0,110000.0,40-49
128,32.0,Female,Bachelor's Degree,Marketing Coordinator,4.0,50000.0,30-39
129,34.0,Male,Master's Degree,Senior Software Developer,8.0,105000.0,30-39
130,50.0,Female,Master's Degree,Director of Operations,21.0,160000.0,50-59
131,29.0,Male,Bachelor's Degree,Junior Web Designer,3.0,45000.0,20-29
132,40.0,Female,Master's Degree,Senior Training Specialist,12.0,100000.0,40-49
133,47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,40-49
134,27.0,Male,Bachelor's Degree,Junior Sales Representative,1.0,35000.0,20-29
135,39.0,Female,Bachelor's Degree,Administrative Assistant,10.0,55000.0,30-39
136,46.0,Male,Master's Degree,Senior Project Manager,19.0,140000.0,40-49
137,30.0,Female,Bachelor's Degree,Junior Marketing Manager,4.0,50000.0,30-39
138,36.0,Male,Bachelor's Degree,Junior Data Analyst,7.0,60000.0,30-39
139,43.0,Female,Master's Degree,Senior Product Marketing Manager,14.0,120000.0,40-49
140,28.0,Male,Bachelor's Degree,Junior Business Analyst,2.0,40000.0,20-29
141,41.0,Female,Master's Degree,Senior Marketing Manager,13.0,110000.0,40-49
142,33.0,Male,Bachelor's Degree,Junior Software Developer,5.0,50000.0,30-39
143,47.0,Male,Bachelor's Degree,Senior Sales Manager,20.0,135000.0,40-49
144,25.0,Female,Master's Degree,Junior Marketing Specialist,1.5,40000.0,20-29
145,34.0,Male,Bachelor's Degree,Senior Business Analyst,8.0,90000.0,30-39
146,42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,40-49
147,31.0,Male,Bachelor's Degree,Junior Project Manager,4.0,60000.0,30-39
148,38.0,Female,Bachelor's Degree,Senior Accountant,10.0,80000.0,30-39
149,45.0,Male,Master's Degree,Director of Sales,19.0,175000.0,40-49
150,29.0,Female,Bachelor's Degree,Junior Recruiter,3.0,45000.0,20-29
151,36.0,Male,Master's Degree,Senior Business Development Manager,11.0,120000.0,30-39
152,43.0,Female,PhD,Senior Product Designer,18.0,140000.0,40-49
153,26.0,Male,Bachelor's Degree,Junior Customer Support Specialist,2.0,35000.0,20-29
154,37.0,Female,Master's Degree,Senior Marketing Analyst,9.0,95000.0,30-39
155,44.0,Male,Bachelor's Degree,Senior IT Support Specialist,14.0,110000.0,40-49
156,32.0,Female,Bachelor's Degree,Junior Financial Analyst,5.0,50000.0,30-39
157,33.0,Male,Master's Degree,Senior Operations Manager,7.0,115000.0,30-39
158,51.0,Female,PhD,Director of Human Resources,23.0,185000.0,50-59
159,28.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,40000.0,20-29
160,39.0,Female,Bachelor's Degree,Senior Sales Representative,12.0,90000.0,30-39
161,48.0,Male,Master's Degree,Director of Product Management,21.0,175000.0,40-49
162,30.0,Female,Bachelor's Degree,Junior Copywriter,3.0,45000.0,30-39
163,35.0,Male,Bachelor's Degree,Senior Marketing Coordinator,7.0,80000.0,30-39
164,41.0,Female,Master's Degree,Senior Human Resources Manager,13.0,120000.0,40-49
165,27.0,Male,Bachelor's Degree,Junior Business Development Associate,1.5,35000.0,20-29
166,40.0,Female,Bachelor's Degree,Senior Account Manager,14.0,110000.0,40-49
167,46.0,Male,PhD,Senior Researcher,18.0,150000.0,40-49
168,31.0,Female,Bachelor's Degree,Junior HR Coordinator,4.0,50000.0,30-39
169,34.0,Male,Master's Degree,Senior Software Engineer,9.0,105000.0,30-39
170,50.0,Female,Master's Degree,Director of Finance,20.0,180000.0,50-59
171,29.0,Male,Bachelor's Degree,Junior Marketing Coordinator,2.0,40000.0,20-29
172,43.0,Male,Bachelor's Degree,Senior Project Manager,16.0,140000.0,40-49
173,26.0,Female,Master's Degree,Junior Data Scientist,1.5,45000.0,20-29
174,35.0,Male,Bachelor's Degree,Senior Operations Analyst,7.0,85000.0,30-39
175,42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,40-49
176,31.0,Male,Bachelor's Degree,Junior Accountant,4.0,50000.0,30-39
177,38.0,Female,Bachelor's Degree,Senior Human Resources Coordinator,10.0,80000.0,30-39
178,46.0,Male,Master's Degree,Director of Operations,20.0,170000.0,40-49
179,29.0,Female,Bachelor's Degree,Junior Sales Representative,2.0,40000.0,20-29
180,37.0,Male,Master's Degree,Senior Business Analyst,9.0,105000.0,30-39
181,44.0,Female,PhD,Senior UX Designer,15.0,145000.0,40-49
182,27.0,Male,Bachelor's Degree,Junior Product Manager,2.0,40000.0,20-29
183,36.0,Female,Bachelor's Degree,Senior Marketing Specialist,8.0,85000.0,30-39
184,43.0,Male,Bachelor's Degree,Senior IT Project Manager,14.0,130000.0,40-49
185,33.0,Female,Master's Degree,Senior Financial Analyst,6.0,95000.0,30-39
186,34.0,Male,Bachelor's Degree,Senior Quality Assurance Analyst,9.0,100000.0,30-39
187,50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0,50-59
188,28.0,Male,Bachelor's Degree,Junior Operations Analyst,1.5,35000.0,20-29
189,39.0,Female,Bachelor's Degree,Senior Account Executive,12.0,95000.0,30-39
190,47.0,Male,Master's Degree,Director of Business Development,19.0,170000.0,40-49
191,30.0,Female,Bachelor's Degree,Junior Social Media Manager,3.0,45000.0,30-39
192,34.0,Male,Bachelor's Degree,Senior Product Manager,7.0,95000.0,30-39
193,40.0,Female,Master's Degree,Senior Human Resources Specialist,13.0,120000.0,40-49
194,41.0,Female,Bachelor's Degree,Senior Marketing Coordinator,11.0,90000.0,40-49
195,45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,40-49
196,32.0,Female,Bachelor's Degree,Junior Account Manager,5.0,55000.0,30-39
197,35.0,Male,Master's Degree,Senior Software Developer,9.0,110000.0,30-39
198,49.0,Female,Master's Degree,Director of Human Capital,21.0,180000.0,40-49
199,30.0,Male,Bachelor's Degree,Junior Advertising Coordinator,3.0,45000.0,30-39
200,44.0,Male,Bachelor's Degree,Senior Sales Manager,16.0,130000.0,40-49
201,27.0,Female,Master's Degree,Junior UX Designer,1.5,45000.0,20-29
202,36.0,Male,Bachelor's Degree,Senior Accountant,7.0,90000.0,30-39
203,41.0,Female,PhD,Senior Marketing Director,17.0,160000.0,40-49
204,31.0,Male,Bachelor's Degree,Junior HR Generalist,4.0,50000.0,30-39
205,39.0,Female,Bachelor's Degree,Senior Operations Manager,10.0,120000.0,30-39
206,47.0,Male,Master's Degree,Director of Finance,20.0,170000.0,40-49
207,30.0,Female,Bachelor's Degree,Junior Marketing Coordinator,2.0,40000.0,30-39
208,38.0,Male,Master's Degree,Senior IT Consultant,9.0,110000.0,30-39
209,45.0,Female,PhD,Senior Product Designer,15.0,150000.0,40-49
210,28.0,Male,Bachelor's Degree,Junior Business Development Associate,2.0,40000.0,20-29
211,35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,85000.0,30-39
212,44.0,Male,Bachelor's Degree,Senior Software Engineer,14.0,130000.0,40-49
213,34.0,Female,Master's Degree,Senior Financial Advisor,6.0,100000.0,30-39
214,35.0,Male,Bachelor's Degree,Senior Project Coordinator,9.0,95000.0,30-39
215,50.0,Female,PhD,Director of Operations,22.0,180000.0,50-59
216,29.0,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,35000.0,20-29
217,40.0,Female,Bachelor's Degree,Senior Sales Representative,12.0,100000.0,40-49
218,48.0,Male,Master's Degree,Director of Marketing,19.0,170000.0,40-49
219,31.0,Female,Bachelor's Degree,Junior Social Media Specialist,3.0,45000.0,30-39
220,33.0,Male,Bachelor's Degree,Senior Product Development Manager,7.0,100000.0,30-39
221,42.0,Female,Master's Degree,Senior Human Resources Manager,13.0,140000.0,40-49
222,28.0,Male,Bachelor's Degree,Junior Financial Analyst,2.0,40000.0,20-29
223,40.0,Female,Bachelor's Degree,Senior Marketing Manager,11.0,105000.0,40-49
224,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,40-49
225,33.0,Female,Bachelor's Degree,Junior Operations Manager,5.0,70000.0,30-39
226,37.0,Male,Master's Degree,Senior Software Architect,9.0,120000.0,30-39
227,51.0,Female,Master's Degree,Director of Human Resources,21.0,190000.0,50-59
228,30.0,Male,Bachelor's Degree,Junior Marketing Specialist,3.0,45000.0,30-39
229,43.0,Male,Bachelor's Degree,Senior Project Manager,15.0,120000.0,40-49
230,27.0,Female,Master's Degree,Junior Research Scientist,1.5,50000.0,20-29
231,35.0,Male,Bachelor's Degree,Senior Operations Analyst,8.0,85000.0,30-39
232,42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0,40-49
233,32.0,Male,Bachelor's Degree,Junior Sales Representative,3.0,45000.0,30-39
234,37.0,Female,Bachelor's Degree,Senior Financial Analyst,9.0,100000.0,30-39
235,45.0,Male,Master's Degree,Senior Software Developer,16.0,140000.0,40-49
236,33.0,Female,Bachelor's Degree,Junior Operations Analyst,5.0,70000.0,30-39
237,39.0,Male,Bachelor's Degree,Senior Marketing Specialist,10.0,120000.0,30-39
238,44.0,Female,PhD,Senior HR Manager,18.0,160000.0,40-49
239,29.0,Male,Bachelor's Degree,Junior Business Analyst,1.5,40000.0,20-29
240,38.0,Female,Bachelor's Degree,Senior Product Manager,10.0,120000.0,30-39
241,46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,40-49
242,34.0,Female,Bachelor's Degree,Junior Marketing Analyst,6.0,70000.0,30-39
243,36.0,Male,Bachelor's Degree,Senior Operations Manager,8.0,95000.0,30-39
244,49.0,Female,Master's Degree,Director of Marketing,21.0,180000.0,40-49
245,31.0,Male,Bachelor's Degree,Junior Financial Analyst,3.0,50000.0,30-39
246,41.0,Female,Bachelor's Degree,Senior Project Coordinator,11.0,95000.0,40-49
247,47.0,Male,Master's Degree,Director of Operations,20.0,170000.0,40-49
248,29.0,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,350.0,20-29
249,37.0,Female,Bachelor's Degree,Senior Financial Manager,10.0,120000.0,30-39
250,31.0,Female,Bachelor's Degree,Junior Marketing Coordinator,3.0,50000.0,30-39
251,42.0,Male,Bachelor's Degree,Senior Operations Manager,12.0,110000.0,40-49
252,29.0,Female,Bachelor's Degree,Junior Sales Representative,1.5,40000.0,20-29
253,36.0,Male,Bachelor's Degree,Senior Marketing Specialist,8.0,95000.0,30-39
254,44.0,Female,Master's Degree,Senior HR Specialist,15.0,140000.0,40-49
255,33.0,Male,Bachelor's Degree,Junior Operations Manager,4.0,60000.0,30-39
256,39.0,Female,Bachelor's Degree,Senior Marketing Coordinator,9.0,110000.0,30-39
257,45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,40-49
258,32.0,Female,Bachelor's Degree,Junior Marketing Manager,4.0,60000.0,30-39
259,37.0,Male,Bachelor's Degree,Senior Financial Analyst,8.0,90000.0,30-39
260,47.0,Female,Master's Degree,Director of Marketing,20.0,180000.0,40-49
261,30.0,Male,Bachelor's Degree,Junior Business Analyst,2.0,40000.0,30-39
262,38.0,Female,Bachelor's Degree,Senior Project Manager,9.0,120000.0,30-39
263,46.0,Male,PhD,Senior Data Analyst,17.0,160000.0,40-49
264,34.0,Female,Bachelor's Degree,Junior Financial Analyst,5.0,70000.0,30-39
265,36.0,Male,Bachelor's Degree,Senior Product Manager,8.0,95000.0,30-39
266,49.0,Female,Master's Degree,Director of Operations,21.0,180000.0,40-49
267,31.0,Male,Bachelor's Degree,Junior Operations Analyst,3.0,50000.0,30-39
268,47.0,Male,Master's Degree,Director of Marketing,19.0,170000.0,40-49
269,29.0,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000.0,20-29
270,35.0,Male,Bachelor's Degree,Senior Financial Manager,9.0,100000.0,30-39
271,44.0,Female,PhD,Senior Product Designer,15.0,150000.0,40-49
272,33.0,Male,Bachelor's Degree,Junior Business Analyst,4.0,60000.0,30-39
273,44.0,Male,Bachelor's Degree,Senior Software Engineer,13.0,130000.0,40-49
274,32.0,Male,Bachelor's Degree,Junior Product Manager,4.0,65000.0,30-39
275,38.0,Female,Bachelor's Degree,Senior Business Analyst,10.0,110000.0,30-39
276,49.0,Male,PhD,Director of Operations,21.0,180000.0,40-49
277,29.0,Female,Bachelor's Degree,Junior Marketing Specialist,2.0,40000.0,20-29
278,35.0,Male,Bachelor's Degree,Senior Business Development Manager,7.0,90000.0,30-39
279,45.0,Female,Master's Degree,Senior HR Manager,14.0,140000.0,40-49
280,33.0,Male,Bachelor's Degree,Junior Financial Analyst,4.0,60000.0,30-39
281,40.0,Female,Bachelor's Degree,Senior Marketing Manager,12.0,130000.0,40-49
282,44.0,Male,PhD,Senior Data Scientist,16.0,160000.0,40-49
283,30.0,Female,Bachelor's Degree,Junior Operations Coordinator,2.0,40000.0,30-39
284,37.0,Male,Bachelor's Degree,Senior Marketing Analyst,9.0,100000.0,30-39
285,48.0,Female,Master's Degree,Director of HR,20.0,180000.0,40-49
286,31.0,Male,Bachelor's Degree,Junior Project Manager,3.0,55000.0,30-39
287,38.0,Female,Bachelor's Degree,Senior Operations Coordinator,9.0,120000.0,30-39
288,33.0,Female,Bachelor's Degree,Junior Marketing Manager,5.0,70000.0,30-39
289,36.0,Male,Bachelor's Degree,Senior Business Analyst,8.0,95000.0,30-39
290,42.0,Female,Bachelor's Degree,Senior Project Manager,12.0,120000.0,40-49
291,34.0,Female,Master's Degree,Senior Financial Advisor,6.0,80000.0,30-39
292,30.0,Female,Bachelor's Degree,Junior HR Coordinator,2.0,40000.0,30-39
293,37.0,Male,Bachelor's Degree,Senior Business Development Manager,10.0,120000.0,30-39
294,45.0,Female,Master's Degree,Senior Marketing Manager,16.0,160000.0,40-49
295,32.0,Male,Bachelor's Degree,Junior Financial Advisor,4.0,65000.0,30-39
296,39.0,Female,Bachelor's Degree,Senior Project Manager,12.0,130000.0,30-39
297,47.0,Male,PhD,Director of Engineering,20.0,180000.0,40-49
298,29.0,Female,Bachelor's Degree,Junior Marketing Analyst,2.0,40000.0,20-29
299,36.0,Male,Bachelor's Degree,Senior Operations Manager,9.0,100000.0,30-39
300,43.0,Female,PhD,Senior Data Scientist,15.0,150000.0,40-49
301,32.0,Male,Bachelor's Degree,Junior Marketing Coordinator,3.0,55000.0,30-39
302,48.0,Male,Master's Degree,Director of Marketing,21.0,180000.0,40-49
303,31.0,Female,Bachelor's Degree,Junior Business Development Associate,3.0,50000.0,30-39
304,40.0,Male,Bachelor's Degree,Senior Financial Analyst,12.0,130000.0,40-49
305,45.0,Female,PhD,Senior UX Designer,16.0,160000.0,40-49
306,33.0,Male,Bachelor's Degree,Junior Product Manager,4.0,60000.0,30-39
307,36.0,Female,Bachelor's Degree,Senior Marketing Manager,8.0,95000.0,30-39
308,47.0,Male,Master's Degree,Director of Operations,19.0,170000.0,40-49
309,29.0,Female,Bachelor's Degree,Junior Project Manager,2.0,40000.0,20-29
310,34.0,Male,Bachelor's Degree,Senior Operations Coordinator,7.0,90000.0,30-39
311,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,40-49
312,33.0,Male,Bachelor's Degree,Junior Marketing Specialist,5.0,70000.0,30-39
313,35.0,Female,Bachelor's Degree,Senior Financial Manager,8.0,90000.0,30-39
314,43.0,Male,Master's Degree,Director of Marketing,18.0,170000.0,40-49
315,31.0,Female,Bachelor's Degree,Junior Financial Analyst,3.0,50000.0,30-39
316,41.0,Male,Bachelor's Degree,Senior Product Manager,14.0,150000.0,40-49
317,44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,40-49
318,45.0,Male,Master's Degree,Director of Engineering,19.0,180000.0,40-49
319,28.0,Female,Bachelor's Degree,Junior Operations Manager,1.0,35000.0,20-29
320,36.0,Male,Bachelor's Degree,Senior Business Development Manager,8.0,110000.0,30-39
321,44.0,Female,PhD,Senior Data Scientist,16.0,160000.0,40-49
322,31.0,Male,Bachelor's Degree,Junior Marketing Coordinator,3.0,55000.0,30-39
323,43.0,Male,Master's Degree,Director of Operations,19.0,170000.0,40-49
324,31.0,Male,Master's Degree,Data Scientist,6.0,160000.0,30-39
325,28.0,Female,Bachelor's Degree,Software Engineer,3.0,125000.0,20-29
326,26.0,Male,Master's Degree,Product Manager,2.0,120000.0,20-29
327,27.0,Female,Bachelor's Degree,Data Analyst,2.0,110000.0,20-29
328,30.0,Male,PhD,Data Scientist,5.0,180000.0,30-39
329,29.0,Female,Bachelor's Degree,Software Engineer,4.0,140000.0,20-29
330,32.0,Male,Bachelor's Degree,Product Manager,7.0,170000.0,30-39
331,25.0,Female,Master's Degree,Data Analyst,1.0,100000.0,20-29
332,33.0,Male,PhD,Data Scientist,8.0,190000.0,30-39
333,31.0,Female,Bachelor's Degree,Software Engineer,6.0,155000.0,30-39
334,28.0,Male,Master's Degree,Product Manager,3.0,130000.0,20-29
335,30.0,Female,Bachelor's Degree,Data Analyst,5.0,145000.0,30-39
336,27.0,Male,PhD,Data Scientist,2.0,115000.0,20-29
337,34.0,Male,Bachelor's Degree,Product Manager,9.0,185000.0,30-39
338,28.0,Male,Bachelor's Degree,Software Engineer,3.0,125000.0,20-29
339,26.0,Female,Master's Degree,Product Manager,2.0,120000.0,20-29
340,27.0,Male,Bachelor's Degree,Data Analyst,2.0,110000.0,20-29
341,30.0,Female,PhD,Data Scientist,5.0,180000.0,30-39
342,29.0,Male,Bachelor's Degree,Software Engineer,4.0,140000.0,20-29
343,26.0,Male,Bachelor's Degree,Data Analyst,3.0,130000.0,20-29
344,29.0,Female,Master's Degree,Data Scientist,6.0,180000.0,20-29
345,32.0,Male,Bachelor's Degree,Software Engineer,8.0,190000.0,30-39
346,27.0,Female,Bachelor's Degree,Product Manager,4.0,150000.0,20-29
347,24.0,Male,Bachelor's Degree,Data Analyst,1.0,90000.0,20-29
348,31.0,Female,Master's Degree,Data Scientist,9.0,195000.0,30-39
349,28.0,Male,Bachelor's Degree,Software Engineer,5.0,160000.0,20-29
350,33.0,Female,Master's Degree,Product Manager,11.0,198000.0,30-39
351,25.0,Male,Bachelor's Degree,Data Analyst,2.0,110000.0,20-29
352,30.0,Female,PhD,Data Scientist,7.0,185000.0,30-39
